,book_id,similar,score,rank,title,authors,similar_title,similar_authors
0,4410,466,0.04523158073425293,5,The Lord of the Rings: The Return of the King: Visual Companion,Jude Fisher,The Hobbit: Graphic Novel,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming"
1,1618,504,0.2839614152908325,3,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone",Redeeming Love,Francine Rivers
2,1788,780,0.270236611366272,1,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau"
3,3628,780,0.09565728902816772,4,The Complete Calvin and Hobbes,Bill Watterson,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau"
4,4483,780,0.1821213960647583,10,It's a Magical World: A Calvin and Hobbes Collection,Bill Watterson,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau"
5,6920,780,0.05599474906921387,10,The Indispensable Calvin and Hobbes,Bill Watterson,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau"
6,7947,797,0.050966620445251465,9,ESV Study Bible,"Anonymous, Lane T. Dennis, Wayne A. Grudem",Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin"
7,2093,866,0.08629167079925537,10,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",Jaws,Peter Benchley
8,1788,1010,0.2631579041481018,2,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson
9,3628,1010,0.10095846652984619,2,The Complete Calvin and Hobbes,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson
10,4483,1010,0.18400001525878906,9,It's a Magical World: A Calvin and Hobbes Collection,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson
11,6920,1010,0.0879940390586853,9,The Indispensable Calvin and Hobbes,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson
12,2093,1132,0.1169467568397522,3,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",The Amityville Horror,Jay Anson
13,1618,1218,0.11618667840957642,9,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone","This Present Darkness (Darkness, #1)",Frank E. Peretti
14,2093,1247,0.09060174226760864,8,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",Rosemary's Baby,Ira Levin
15,2093,1292,0.19393938779830933,1,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",'Salem's Lot,"Stephen King, Jerry N. Uelsmann"
16,8854,1618,0.09589040279388428,7,Mark of the Lion Trilogy,Francine Rivers,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone"
17,7947,1721,0.06170600652694702,5,ESV Study Bible,"Anonymous, Lane T. Dennis, Wayne A. Grudem",My Utmost for His Highest,Oswald Chambers
18,3628,1788,0.1499999761581421,1,The Complete Calvin and Hobbes,Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson
19,4483,1788,0.23003578186035156,4,It's a Magical World: A Calvin and Hobbes Collection,Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson
20,6920,1788,0.10783052444458008,8,The Indispensable Calvin and Hobbes,Bill Watterson,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson
21,2093,1829,0.11634618043899536,4,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",The Omen,David Seltzer
22,4410,2101,0.026277363300323486,9,The Lord of the Rings: The Return of the King: Visual Companion,Jude Fisher,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)","J.K. Rowling, Mary GrandPré"
